1          PLURIDISCIPLINE MATHEMATIQUES-SCIENCES
2          MATHEMATIQUES, STATISTIQUES
3          PHYSIQUE
4          CHIMIE
5          SCIENCES NATURELLES
6          BIOLOGIE, BIOCHIMIE
7          SCIENCES DE LA TERRE, GEOLOGIE
8          SCIENCES DE LA VIE
9          AUTRES MATHEMATIQUES ET SCIENCES
10         PLURIDISCIPLINES SCIENCES HUMAINES ET DROIT
11         GEOGRAPHIE
12         ECONOMIE
13         SCIENCES SOCIALES
14         PSYCHOLOGIE
15         LINGUISTIQUE
16         HISTOIRE
17         PHILOSOPHIE
18         DROIT, FISCALITE
19         AUTRES SCIENCES HUMAINES
20         PLURIDISCIPLINES LETTRES
21         FRANCAIS, LITTERATURE
22         LANGUES VIVANTES
23         ALPHABETISATION (FRANCAIS)
24         LANGUES VERNACULAIRES, LANGUES AFRICAINES
25         LANGUE DES SIGNES, BRAILLE
26         INTERPRETARIAT, TRADUCTION
27         AUTRES LETTRES
28         PLURIDISCIPLINES ECONOMIE
29         ECONOMIE
29         SCIENCES POLITIQUES
30         AUTRES ECONOMIE ET SCIENCES POLITIQUE
31         PLURIDISCIPLINES ARTISTIQUES
32         ARTS PLASTIQUES
33         DANSE, MUSIQUE
34         ARTS DU SPECTACLE
35         ARTS DECORATIFS
36         ARTISANAT D'ART
37         AUTRES ARTS ARTISANAT D'ART
38         GENIE RURAL, PLURIVALENCES DE LA PRODUCT. AGRICOLE
39         CULTURE DES SOLS, PRODUCTIONS VEGETALES
40         ELEVAGE, AQUACULTURE, SOINS ANIMAUX
41        FORESTERIE, SYLVICULTURE, FAUNE
42        HORTICULTURE, AMENAGEMENTS PAYSAGERS, PARCS, JARD.
43        CHASSE ET PECHE
44        CONDUITE D'ENGINS AGRICOLES
45        AUTRES GENIE RURAL
46        PLURIVALENCES DE LA PRODUCTION INDUSTRIELLE
47        ORGANISATION ET GESTION DE LA PRODUCTION
48        AUTOMATISMES, ROBOTISMES INDUSTRIELS
49        PRODUCTIQUE, INFORMATIQUE INDUSTRIELLE
50        MAINTENANCE INDUSTRIELLE
51        RECHERCHE & DEVLP., ETUDES, CONCEPTION, DESSIN IND
52        CONTROLE QUALITE
53        AUTRES GENIE INDUSTRIEL
54        PLURI-TECHNOLOGIES DES TRANSFORMATIONS
55        CONDUITE DE PROCESS, REGLAGES, ENTRETIEN
56        AGRO-ALIMENTAIRE, CUISINE INDUSTRIELLE
57        TRANSFORMAT. CHIMIQUE ET APPARENTEE (YC RAFFINAGE)
58        METALLURGIE (Y.COMPRIS NON FERREUX)
59        PRODUCTION MATERIAUX CONSTRUCTION, VERRE, CERAMIQ.
60        PLASTURGIE, MATERIAUX COMPOSITES
61        PAPIER, CARTON
62        AUTRES TRANSFORMATION
63        PLURI-TECHNOLOGIES BTP
64        BATIMENT GROS OEUVRE ET COUVERTURE
65        BATIMENT SECOND OEUVRE
66        RENOVATION, REHABILITATION
67        TRAVAUX PUBLICS, GENIE CIVIL
68        LECTURE DE PLANS, METRE
69        ARCHITECTURE, TOPOGRAPHIE
70        CONDUITE D'ENGINS TRAVAUX PUBLICS
71        CONSTRUCTION ET CHARPENTES METALLIQUES
72        AUTRES BTP
73        PLURI-TECHNOLOGIES MATERIAUX SOUPLES
74        TEXTILE
75        HABILLEMENT
76        CUIRS ET PEAUX
78        EMBALLAGES, SACHERIE, FICELLERIE
79        AUTRES MATERIAUX SOUPLES
80        PLURI-TECHNOLOGIES MECANIQUE
81        MECANIQUE GENERALE ET DE PRECISION, USINAGE
82        CHAUDRONNERIE, TOLERIE, FORMAGE, TRACAGE
83        MOTEURS, MECANIQUE AUTO, MOTO ET ENGINS
84        STRUCTURES METALLIQUES, SOUDURE, METALLERIE
85        MECANIQUE AERONAUTIQUE ET SPATIALE
86         CONSTRUCTION NAVALE
87         RESISTANCE ET CONNAISSANCE DE MATERIAUX, METROLOGIE
88         CIRCUITS HYDRAULIQUES ET PNEUMATIQUES
